date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:20:14	26597/26597	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Apr%202025%2001:20:16%20GMT	https://themes.3rdwavemedia.com/devcard/bs5/index.html	C:/My%20Web%20Sites/new_portfolio/themes.3rdwavemedia.com/devcard/bs5/index.html	(from )
19:20:14	285/285	---M--	403	error ('Forbidden')	text/html	date:Thu,%2024%20Apr%202025%2001:20:16%20GMT	https://themes.3rdwavemedia.com/robots.txt		(from )
19:20:14	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2247e-5c2645c2bbafa%22	https://themes.3rdwavemedia.com/devcard/bs5/favicon.ico	C:/My%20Web%20Sites/new_portfolio/themes.3rdwavemedia.com/devcard/bs5/favicon.ico	(from https://themes.3rdwavemedia.com/devcard/bs5/index.html)
19:20:15	1571922/1571922	---MCZ	200	added ('OK')	application/javascript	etag:%2217fc52-605a288b3d8ba-gzip%22	https://themes.3rdwavemedia.com/devcard/bs5/assets/fontawesome/js/all.js	C:/My%20Web%20Sites/new_portfolio/themes.3rdwavemedia.com/devcard/bs5/assets/fontawesome/js/all.js	(from https://themes.3rdwavemedia.com/devcard/bs5/index.html)
19:20:15	2178/2178	---M-Z	200	added ('OK')	text/css	etag:%22882-5fded5fa287ac-gzip%22	https://themes.3rdwavemedia.com/devcard/bs5/assets/plugins/tiny-slider/tiny-slider.css	C:/My%20Web%20Sites/new_portfolio/themes.3rdwavemedia.com/devcard/bs5/assets/plugins/tiny-slider/tiny-slider.css	(from https://themes.3rdwavemedia.com/devcard/bs5/index.html)
19:20:15	254540/254540	---M-Z	200	added ('OK')	text/css	etag:%223e24c-6220172f117a5-gzip%22	https://themes.3rdwavemedia.com/devcard/bs5/assets/css/theme-1.css	C:/My%20Web%20Sites/new_portfolio/themes.3rdwavemedia.com/devcard/bs5/assets/css/theme-1.css	(from https://themes.3rdwavemedia.com/devcard/bs5/index.html)
19:20:15	78058/78058	---M--	200	added ('OK')	image/png	etag:%22130ea-5c2646d0b7d6b%22	https://themes.3rdwavemedia.com/devcard/bs5/assets/images/profile.png	C:/My%20Web%20Sites/new_portfolio/themes.3rdwavemedia.com/devcard/bs5/assets/images/profile.png	(from https://themes.3rdwavemedia.com/devcard/bs5/index.html)
19:20:16	17511/17511	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Apr%202025%2001:20:18%20GMT	https://themes.3rdwavemedia.com/devcard/bs5/portfolio.html	C:/My%20Web%20Sites/new_portfolio/themes.3rdwavemedia.com/devcard/bs5/portfolio.html	(from https://themes.3rdwavemedia.com/devcard/bs5/index.html)
19:20:16	25164/25164	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Apr%202025%2001:20:18%20GMT	https://themes.3rdwavemedia.com/devcard/bs5/services.html	C:/My%20Web%20Sites/new_portfolio/themes.3rdwavemedia.com/devcard/bs5/services.html	(from https://themes.3rdwavemedia.com/devcard/bs5/index.html)
19:20:16	21413/21413	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Apr%202025%2001:20:19%20GMT	https://themes.3rdwavemedia.com/devcard/bs5/resume.html	C:/My%20Web%20Sites/new_portfolio/themes.3rdwavemedia.com/devcard/bs5/resume.html	(from https://themes.3rdwavemedia.com/devcard/bs5/index.html)
